Taxon	238322001677.P1	238322001964.P2	238322002045.P3	238322001915.P4	238322001588.K1	238322000220.K2	238322000983.K3	238322001364.K4	238322001495.L1	238322001218.L2	236191003825.L3	236191002984.L4	236191003814.W1	236191002875.W2	236191003850.W3	236191003556.W4	236191002863.CTL1	236191003484.CTL2
g__Ligilactobacillus;s__Ligilactobacillus aviarius	0.000000	0.000000	0.000000	0.000000	0.000330	0.000490	0.000530	0.000000	0.000000	0.000390	0.000000	0.000000	0.000000	0.000000	0.000000	0.000090	0.000000	0.000000
g__Ligilactobacillus;s__Ligilactobacillus aviarius_B	0.000000	0.000000	0.000000	0.000000	0.000180	0.000220	0.000000	0.000000	0.000250	0.000200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000040	0.000000	0.000000
g__Ligilactobacillus;s__Ligilactobacillus faecavium	0.000000	0.000000	0.000000	0.000000	0.000110	0.000190	0.000000	0.000000	0.000170	0.000110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000
g__Ligilactobacillus;s__Ligilactobacillus saerimneri	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Ligilactobacillus;s__Ligilactobacillus salivarius	0.000000	0.000000	0.000000	0.000000	0.001070	0.001481	0.001430	0.002230	0.002281	0.002030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000360	0.000000	0.000000
g__Limosilactobacillus;s__Limosilactobacillus fermentum	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000050	0.000000	0.000000
g__Limosilactobacillus;s__Limosilactobacillus mucosae	0.000000	0.000000	0.000000	0.000000	0.000000	0.000040	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Limosilactobacillus;s__Limosilactobacillus secaliphilus	0.000000	0.000000	0.000000	0.000000	0.000000	0.000020	0.000000	0.000000	0.000060	0.000060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Streptococcus;s__Streptococcus equinus_B	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000090	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Streptococcus;s__Streptococcus infantarius	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000960	0.000230	0.000000	0.000790	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000
g__Streptococcus;s__Streptococcus lutetiensis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Streptococcus;s__Streptococcus mitis_AV	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002381	0.000000	0.000000	0.000000	0.000000
g__Cohnella;s__Cohnella thermotolerans	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Cohnella;s__Cohnella xylanilytica	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000
g__Staphylococcus;s__Staphylococcus arlettae	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g__Staphylococcus;s__Staphylococcus warneri	0.000000	0.000000	0.000000	0.000000	0.000080	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000130	0.000000	0.000000	0.000000	0.000000	0.000000
